CUSTOMERID,INVOICEID,INVOICEDATE,AMOUNT,QUANTITY,PAYMENTMETHOD
CUST0113,INV01507,2023-10-14 02:31:32.000,369.62,5,Gift Card
CUST0194,INV01206,2023-10-14 12:18:30.000,71.09,2,Bank Transfer
CUST0139,INV00572,2023-10-14 17:00:06.000,36.01,1,Credit Card
CUST0481,INV04543,2023-10-15 03:07:39.000,244.01,6,Bank Transfer
CUST0300,INV00754,2023-10-15 03:14:36.000,247.36,7,PayPal
CUST0445,INV00263,2023-10-15 06:35:50.000,272.46,6,Gift Card
CUST0166,INV01869,2023-10-15 09:32:00.000,86.63,7,PayPal
CUST0274,INV00495,2023-10-15 11:52:40.000,161.73,6,Gift Card
CUST0138,INV03356,2023-10-15 12:19:13.000,259.83,5,Gift Card
CUST0353,INV02129,2023-10-15 18:11:26.000,124.38,6,Gift Card
CUST0063,INV04030,2023-10-15 20:22:12.000,182.08,3,PayPal
CUST0257,INV02724,2023-10-16 00:47:16.000,28.57,10,Bank Transfer
CUST0233,INV02196,2023-10-16 02:57:55.000,86.29,4,Credit Card
CUST0001,INV00497,2023-10-16 12:35:35.000,266.42,3,Bank Transfer
CUST0344,INV03934,2023-10-16 13:59:46.000,208.64,9,Bank Transfer
CUST0402,INV04896,2023-10-16 14:44:36.000,479.63,2,Credit Card
CUST0175,INV01639,2023-10-16 16:00:21.000,163.78,2,Gift Card
CUST0056,INV04676,2023-10-16 16:23:50.000,35.10,10,Gift Card
CUST0334,INV02822,2023-10-16 17:19:21.000,380.27,6,PayPal
CUST0090,INV02213,2023-10-16 20:08:05.000,452.11,5,PayPal
CUST0444,INV04441,2023-10-16 23:11:39.000,185.09,8,Gift Card
CUST0082,INV03499,2023-10-17 02:58:50.000,285.97,8,Gift Card
CUST0238,INV04583,2023-10-17 03:43:36.000,238.64,1,Credit Card
CUST0288,INV02541,2023-10-17 07:09:34.000,246.15,7,Credit Card
CUST0150,INV03883,2023-10-17 07:53:00.000,139.07,8,Bank Transfer
CUST0105,INV00001,2023-10-17 11:52:51.000,211.08,10,Gift Card
CUST0233,INV02856,2023-10-17 16:09:07.000,449.43,1,PayPal
CUST0490,INV00361,2023-10-17 17:25:59.000,396.17,6,Credit Card
CUST0476,INV04741,2023-10-17 18:14:53.000,271.63,1,Bank Transfer
CUST0219,INV02454,2023-10-17 19:28:25.000,250.35,4,PayPal
CUST0029,INV01374,2023-10-17 21:37:35.000,376.03,2,PayPal
CUST0058,INV02052,2023-10-18 12:12:01.000,345.53,7,Credit Card
CUST0071,INV01591,2023-10-18 23:34:43.000,66.64,2,Bank Transfer
CUST0468,INV02036,2023-10-19 02:34:30.000,143.58,1,Gift Card
CUST0211,INV01165,2023-10-19 02:45:41.000,157.75,10,Gift Card
CUST0053,INV01498,2023-10-19 05:42:43.000,82.17,2,Credit Card
CUST0174,INV02151,2023-10-19 06:42:52.000,49.77,6,Credit Card
CUST0497,INV00795,2023-10-19 11:01:52.000,371.86,9,Bank Transfer
CUST0055,INV02318,2023-10-19 13:27:27.000,413.79,9,PayPal
CUST0303,INV01265,2023-10-19 13:40:24.000,185.94,3,Gift Card
CUST0468,INV01678,2023-10-19 15:30:34.000,36.77,8,PayPal
CUST0127,INV03682,2023-10-19 16:42:42.000,399.75,5,Gift Card
CUST0096,INV02603,2023-10-19 21:05:43.000,322.77,3,Bank Transfer
CUST0108,INV03826,2023-10-20 01:45:27.000,187.66,10,Bank Transfer
CUST0180,INV04270,2023-10-20 08:46:06.000,180.80,6,Credit Card
CUST0245,INV00003,2023-10-20 14:29:18.000,267.48,6,PayPal
CUST0499,INV02804,2023-10-20 18:21:49.000,411.31,3,Bank Transfer
CUST0429,INV01744,2023-10-20 18:22:45.000,351.18,10,Gift Card
CUST0340,INV01767,2023-10-20 20:12:38.000,173.24,1,Credit Card
CUST0131,INV00544,2023-10-20 23:25:13.000,186.40,8,Gift Card
CUST0153,INV03919,2023-10-21 02:24:57.000,307.85,1,PayPal
CUST0342,INV01008,2023-10-21 06:34:58.000,394.55,10,PayPal
CUST0212,INV00254,2023-10-21 15:19:44.000,485.65,10,PayPal
CUST0172,INV03150,2023-10-22 00:03:42.000,334.99,10,Credit Card
CUST0413,INV01585,2023-10-22 05:07:04.000,474.52,10,Credit Card
CUST0410,INV00822,2023-10-22 07:06:44.000,157.53,6,Credit Card
CUST0474,INV03392,2023-10-22 13:45:12.000,317.30,2,Bank Transfer
CUST0099,INV02812,2023-10-22 15:04:27.000,435.13,9,Gift Card
CUST0268,INV03371,2023-10-22 19:12:54.000,442.37,6,Credit Card
CUST0376,INV00690,2023-10-22 23:22:35.000,172.44,6,Bank Transfer
CUST0212,INV00639,2023-10-22 23:36:35.000,52.53,4,Bank Transfer
CUST0360,INV04466,2023-10-23 00:14:08.000,124.01,4,Credit Card
CUST0326,INV04205,2023-10-23 06:18:41.000,220.25,2,Bank Transfer
CUST0326,INV00872,2023-10-23 06:55:36.000,425.19,2,PayPal
CUST0180,INV02048,2023-10-23 07:13:14.000,236.40,1,Gift Card
CUST0453,INV03806,2023-10-23 07:49:51.000,342.35,4,Credit Card
CUST0336,INV04956,2023-10-23 11:34:05.000,56.54,7,Bank Transfer
CUST0317,INV01822,2023-10-23 12:38:55.000,119.85,10,Credit Card
CUST0382,INV00036,2023-10-23 14:37:26.000,116.77,2,Credit Card
CUST0152,INV03294,2023-10-23 21:42:51.000,96.77,2,Gift Card
CUST0465,INV00403,2023-10-23 21:55:33.000,27.96,5,Gift Card
CUST0038,INV02515,2023-10-24 03:55:39.000,166.99,4,Credit Card
CUST0327,INV00338,2023-10-24 04:13:51.000,159.25,9,PayPal
CUST0294,INV01252,2023-10-24 05:50:08.000,244.95,2,PayPal
CUST0393,INV01223,2023-10-24 11:54:26.000,147.38,5,Gift Card
CUST0262,INV00128,2023-10-24 16:37:32.000,200.35,10,PayPal
CUST0436,INV04006,2023-10-24 20:02:30.000,319.68,6,PayPal
CUST0305,INV03718,2023-10-24 20:06:27.000,331.54,1,Bank Transfer
CUST0047,INV03455,2023-10-24 20:57:19.000,55.80,6,Credit Card
CUST0082,INV00886,2023-10-25 04:47:43.000,143.63,1,Bank Transfer
CUST0224,INV04616,2023-10-25 05:20:27.000,423.31,9,PayPal
CUST0366,INV01254,2023-10-25 09:20:59.000,455.35,9,PayPal
CUST0141,INV00073,2023-10-25 17:43:46.000,272.51,5,Credit Card
CUST0250,INV00482,2023-10-25 23:11:21.000,389.62,8,Credit Card
CUST0293,INV03050,2023-10-25 23:23:36.000,129.39,7,Gift Card
CUST0064,INV00346,2023-10-25 23:40:53.000,388.35,8,Gift Card
CUST0473,INV03962,2023-10-26 07:45:22.000,384.70,7,Bank Transfer
CUST0434,INV01123,2023-10-26 09:31:58.000,102.04,7,PayPal
CUST0063,INV00621,2023-10-26 10:38:10.000,350.36,5,Bank Transfer
CUST0167,INV01792,2023-10-26 11:20:35.000,155.86,1,Credit Card
CUST0234,INV04166,2023-10-26 12:40:36.000,460.73,2,Credit Card
CUST0026,INV02785,2023-10-26 12:41:46.000,170.17,7,Bank Transfer
CUST0338,INV02343,2023-10-26 16:47:56.000,483.61,6,Gift Card
CUST0195,INV03350,2023-10-26 23:28:06.000,499.57,1,Bank Transfer
CUST0487,INV00607,2023-10-27 04:16:35.000,88.35,9,Gift Card
CUST0232,INV02523,2023-10-27 06:18:40.000,348.64,1,Credit Card
CUST0465,INV00814,2023-10-27 07:11:51.000,347.04,4,Credit Card
CUST0312,INV00596,2023-10-27 09:23:22.000,370.31,7,Bank Transfer
CUST0170,INV03106,2023-10-27 17:28:34.000,206.62,2,PayPal
CUST0056,INV02143,2023-10-27 21:36:40.000,469.08,8,Bank Transfer
CUST0119,INV00851,2023-10-27 21:45:42.000,317.90,3,Credit Card
CUST0012,INV04771,2023-10-27 23:43:42.000,320.44,9,Bank Transfer
CUST0450,INV01531,2023-10-28 00:54:16.000,148.80,9,PayPal
CUST0258,INV03469,2023-10-28 08:24:25.000,424.87,8,PayPal
CUST0187,INV01917,2023-10-28 11:12:56.000,440.75,2,PayPal
CUST0431,INV04229,2023-10-28 15:14:46.000,488.73,9,Gift Card
CUST0423,INV01819,2023-10-28 15:17:22.000,463.03,3,PayPal
CUST0155,INV02174,2023-10-28 20:00:28.000,79.50,8,PayPal
CUST0402,INV04444,2023-10-29 00:40:09.000,252.94,6,Bank Transfer
CUST0062,INV01488,2023-10-29 01:23:33.000,71.88,3,Gift Card
CUST0463,INV04172,2023-10-29 01:50:09.000,219.32,2,Gift Card
CUST0162,INV04350,2023-10-29 13:13:28.000,89.00,3,Credit Card
CUST0304,INV00419,2023-10-29 13:21:50.000,88.95,9,Credit Card
CUST0015,INV00828,2023-10-29 13:50:49.000,374.79,2,PayPal
CUST0033,INV01129,2023-10-30 00:55:12.000,271.90,4,Gift Card
CUST0460,INV00343,2023-10-30 07:15:30.000,90.44,3,Gift Card
CUST0225,INV01281,2023-10-30 19:13:41.000,493.26,8,Bank Transfer
CUST0138,INV01268,2023-10-30 20:38:44.000,497.73,4,Bank Transfer
CUST0201,INV02968,2023-10-31 12:32:25.000,89.48,10,Credit Card
CUST0146,INV04086,2023-10-31 13:15:29.000,172.43,5,Gift Card
CUST0084,INV03410,2023-10-31 14:52:38.000,184.89,10,PayPal
CUST0281,INV00489,2023-10-31 16:33:49.000,36.37,7,Credit Card
CUST0061,INV03732,2023-10-31 17:50:09.000,494.33,1,PayPal
CUST0238,INV00812,2023-11-01 03:07:29.000,120.01,1,PayPal
CUST0482,INV01969,2023-11-01 07:12:27.000,205.36,7,Credit Card
CUST0350,INV03518,2023-11-01 09:47:02.000,449.76,4,Gift Card
CUST0411,INV00704,2023-11-01 10:56:34.000,58.16,10,Gift Card
CUST0117,INV03899,2023-11-01 11:12:11.000,395.99,5,Bank Transfer
CUST0257,INV01559,2023-11-01 19:20:36.000,429.36,9,PayPal
CUST0064,INV00389,2023-11-01 19:43:19.000,30.47,10,Gift Card
CUST0333,INV00481,2023-11-02 03:24:23.000,273.83,5,Bank Transfer
CUST0095,INV03224,2023-11-02 09:32:20.000,470.08,3,Credit Card
CUST0367,INV04169,2023-11-02 12:21:15.000,430.20,3,PayPal
CUST0265,INV02798,2023-11-02 20:44:58.000,491.17,8,Gift Card
CUST0012,INV03065,2023-11-02 23:37:13.000,209.29,6,Bank Transfer
CUST0367,INV01832,2023-11-03 02:50:28.000,390.53,9,Credit Card
CUST0105,INV01584,2023-11-03 05:01:42.000,278.07,6,Credit Card
CUST0499,INV02261,2023-11-03 05:03:40.000,142.17,8,Credit Card
CUST0460,INV02331,2023-11-03 12:25:09.000,201.52,8,Credit Card
CUST0370,INV02776,2023-11-03 15:44:41.000,303.56,3,Credit Card
CUST0477,INV01200,2023-11-03 16:11:43.000,376.66,5,Credit Card
CUST0253,INV04612,2023-11-03 18:31:13.000,321.27,10,PayPal
CUST0136,INV03078,2023-11-04 08:15:21.000,18.42,9,PayPal
CUST0278,INV03120,2023-11-04 11:58:32.000,121.42,8,PayPal
CUST0255,INV00626,2023-11-04 13:09:53.000,264.66,8,Gift Card
CUST0368,INV00915,2023-11-04 21:14:16.000,267.66,8,Gift Card
CUST0292,INV00632,2023-11-04 21:51:36.000,311.84,1,PayPal
CUST0414,INV04242,2023-11-05 03:41:34.000,324.58,5,Bank Transfer
CUST0293,INV03041,2023-11-05 05:15:35.000,415.80,8,Bank Transfer
CUST0244,INV00116,2023-11-05 06:02:13.000,57.84,8,Bank Transfer
CUST0190,INV04163,2023-11-05 07:44:23.000,472.26,7,Credit Card
CUST0112,INV04569,2023-11-05 14:11:39.000,471.77,6,Gift Card
CUST0344,INV03955,2023-11-05 16:57:01.000,242.04,4,Bank Transfer
CUST0148,INV00007,2023-11-05 17:30:10.000,69.72,9,Gift Card
CUST0293,INV01110,2023-11-05 23:07:03.000,87.03,6,Bank Transfer
CUST0199,INV00251,2023-11-06 00:09:44.000,100.59,7,Bank Transfer
CUST0423,INV04504,2023-11-06 01:02:52.000,256.69,3,PayPal
CUST0135,INV04908,2023-11-06 02:47:07.000,384.64,7,PayPal
CUST0134,INV02605,2023-11-06 04:14:40.000,49.01,6,PayPal
CUST0443,INV02498,2023-11-06 07:28:53.000,266.99,1,Credit Card
CUST0431,INV00290,2023-11-06 10:40:00.000,332.23,9,PayPal
CUST0484,INV00066,2023-11-06 11:42:07.000,345.57,5,Gift Card
CUST0267,INV00646,2023-11-06 19:59:11.000,385.43,5,Credit Card
CUST0172,INV01516,2023-11-07 00:27:20.000,231.78,6,Bank Transfer
CUST0035,INV01021,2023-11-07 03:08:13.000,436.51,7,Gift Card
CUST0292,INV04506,2023-11-07 04:31:54.000,391.76,3,Credit Card
CUST0152,INV04174,2023-11-07 08:46:30.000,29.94,10,Gift Card
CUST0175,INV04769,2023-11-07 10:18:35.000,131.79,4,Credit Card
CUST0438,INV01728,2023-11-07 13:37:07.000,238.38,6,Gift Card
CUST0421,INV02880,2023-11-07 20:37:12.000,289.06,4,Credit Card
CUST0479,INV02388,2023-11-07 21:12:40.000,292.91,9,Bank Transfer
CUST0328,INV03829,2023-11-08 00:04:10.000,323.19,4,Bank Transfer
CUST0206,INV00541,2023-11-08 09:17:30.000,257.30,3,Gift Card
CUST0020,INV02489,2023-11-08 14:21:14.000,151.95,1,Bank Transfer
CUST0219,INV00953,2023-11-08 23:02:05.000,154.79,1,Credit Card
CUST0358,INV03650,2023-11-09 04:15:24.000,384.41,5,Credit Card
CUST0371,INV04682,2023-11-09 04:18:40.000,299.17,10,PayPal
CUST0452,INV01380,2023-11-09 05:48:39.000,324.80,10,PayPal
CUST0089,INV00171,2023-11-09 05:49:32.000,383.74,2,Credit Card
CUST0082,INV03767,2023-11-09 06:30:04.000,119.68,9,Bank Transfer
CUST0084,INV03115,2023-11-09 13:04:19.000,479.23,3,Bank Transfer
CUST0116,INV04364,2023-11-09 15:40:02.000,177.46,7,PayPal
CUST0325,INV04234,2023-11-10 12:26:08.000,16.46,9,Gift Card
CUST0458,INV04349,2023-11-10 13:08:31.000,149.58,10,Gift Card
CUST0390,INV01325,2023-11-10 15:17:47.000,108.98,3,Credit Card
CUST0131,INV02807,2023-11-10 16:22:52.000,159.70,6,Bank Transfer
CUST0272,INV00429,2023-11-10 18:34:24.000,220.19,8,Gift Card
CUST0399,INV02097,2023-11-10 20:17:01.000,52.82,2,Credit Card
CUST0252,INV00067,2023-11-11 01:40:49.000,235.81,6,PayPal
CUST0128,INV02215,2023-11-11 03:34:35.000,12.79,3,Gift Card
CUST0286,INV00539,2023-11-11 03:51:18.000,377.11,7,Credit Card
CUST0286,INV00521,2023-11-11 06:11:50.000,396.40,6,Gift Card
CUST0274,INV02851,2023-11-11 07:01:36.000,365.55,10,Gift Card
CUST0276,INV01256,2023-11-11 07:37:28.000,359.74,2,PayPal
CUST0404,INV01270,2023-11-11 14:52:12.000,222.48,1,PayPal
CUST0452,INV02630,2023-11-11 21:15:08.000,29.31,3,Bank Transfer
CUST0298,INV00148,2023-11-11 22:13:58.000,11.21,2,Gift Card
CUST0079,INV03182,2023-11-11 23:02:45.000,58.58,9,PayPal
CUST0353,INV00584,2023-11-12 07:58:26.000,355.52,9,PayPal
CUST0096,INV03067,2023-11-12 13:06:07.000,481.81,8,Credit Card
CUST0142,INV02690,2023-11-12 14:28:45.000,103.47,6,Bank Transfer
CUST0036,INV00668,2023-11-12 16:30:18.000,303.15,10,Gift Card
CUST0362,INV02014,2023-11-12 22:34:42.000,424.53,3,PayPal
CUST0398,INV02990,2023-11-13 00:55:14.000,256.37,2,Gift Card
CUST0388,INV04045,2023-11-13 02:29:27.000,178.73,9,Credit Card
CUST0172,INV02960,2023-11-13 04:34:26.000,444.30,7,Bank Transfer
CUST0389,INV02206,2023-11-13 07:11:30.000,453.88,8,Bank Transfer
CUST0489,INV01178,2023-11-13 11:26:24.000,104.31,3,PayPal
CUST0132,INV01843,2023-11-13 19:56:01.000,322.01,1,PayPal
CUST0442,INV01831,2023-11-13 20:11:55.000,198.80,7,Bank Transfer
CUST0293,INV00532,2023-11-14 02:54:15.000,324.46,7,Gift Card
CUST0052,INV03948,2023-11-14 05:23:52.000,104.30,3,Bank Transfer
CUST0148,INV02585,2023-11-14 08:55:47.000,393.84,1,PayPal
CUST0027,INV00056,2023-11-14 09:43:37.000,141.55,10,Credit Card
CUST0220,INV03472,2023-11-15 00:38:54.000,132.83,1,Gift Card
CUST0257,INV02192,2023-11-15 05:42:05.000,276.56,9,Credit Card
CUST0087,INV03940,2023-11-15 15:13:11.000,151.27,2,Credit Card
CUST0072,INV01262,2023-11-15 15:43:59.000,292.77,6,Bank Transfer
CUST0403,INV00385,2023-11-15 16:16:02.000,346.08,10,Credit Card
CUST0232,INV04670,2023-11-15 19:49:03.000,173.33,8,Bank Transfer
CUST0445,INV04524,2023-11-15 20:11:38.000,104.83,7,Credit Card
CUST0219,INV03281,2023-11-15 22:37:01.000,30.71,1,Bank Transfer
CUST0098,INV01118,2023-11-16 01:35:30.000,355.76,3,Bank Transfer
CUST0358,INV04122,2023-11-16 10:50:44.000,331.17,8,Credit Card
CUST0021,INV00576,2023-11-16 15:33:31.000,131.22,9,Bank Transfer
CUST0451,INV01333,2023-11-17 00:40:07.000,465.03,9,Gift Card
CUST0065,INV01081,2023-11-17 11:30:48.000,322.31,5,Bank Transfer
CUST0091,INV01854,2023-11-17 12:14:58.000,29.71,10,Bank Transfer
CUST0099,INV01028,2023-11-17 19:22:06.000,478.03,9,Credit Card
CUST0447,INV04448,2023-11-17 21:52:56.000,83.65,8,Gift Card
CUST0309,INV00205,2023-11-17 22:35:05.000,29.76,6,PayPal
CUST0023,INV03876,2023-11-17 22:36:02.000,162.48,9,PayPal
CUST0264,INV04278,2023-11-18 03:38:08.000,136.19,2,Gift Card
CUST0210,INV02841,2023-11-18 11:49:20.000,434.51,10,Bank Transfer
CUST0487,INV00372,2023-11-18 14:33:28.000,378.80,9,Gift Card
CUST0394,INV02245,2023-11-18 16:47:07.000,310.40,3,Bank Transfer
CUST0065,INV04062,2023-11-18 18:00:52.000,160.83,6,Bank Transfer
CUST0225,INV03910,2023-11-19 01:20:33.000,486.26,9,PayPal
CUST0080,INV00634,2023-11-19 03:15:02.000,317.33,9,Bank Transfer
CUST0407,INV03697,2023-11-19 06:32:56.000,183.47,1,Bank Transfer
CUST0491,INV01540,2023-11-19 07:44:13.000,385.72,2,PayPal
CUST0113,INV01533,2023-11-19 12:27:57.000,25.75,6,PayPal
CUST0314,INV02100,2023-11-19 14:24:47.000,69.77,3,PayPal
CUST0190,INV02989,2023-11-20 00:05:29.000,286.52,5,Gift Card
CUST0323,INV04563,2023-11-20 01:11:33.000,173.05,4,Gift Card
CUST0273,INV01820,2023-11-20 04:04:40.000,416.63,8,PayPal
CUST0090,INV04394,2023-11-20 10:19:46.000,27.26,3,PayPal
CUST0375,INV03977,2023-11-20 10:46:30.000,144.80,4,Credit Card
CUST0164,INV04390,2023-11-20 12:35:20.000,162.41,3,Bank Transfer
CUST0107,INV01856,2023-11-20 15:23:38.000,121.52,10,Gift Card
CUST0257,INV04472,2023-11-20 15:52:47.000,176.40,5,Gift Card
CUST0030,INV02873,2023-11-20 16:18:11.000,53.59,9,PayPal
CUST0016,INV02372,2023-11-20 19:25:16.000,176.69,7,Gift Card
CUST0046,INV04620,2023-11-20 19:28:25.000,407.02,3,PayPal
CUST0102,INV01419,2023-11-20 21:45:24.000,181.15,7,Gift Card
CUST0174,INV04711,2023-11-20 23:28:05.000,345.54,3,Credit Card
CUST0483,INV02069,2023-11-21 07:49:44.000,227.06,4,Gift Card
CUST0122,INV04990,2023-11-21 12:01:20.000,253.26,5,Bank Transfer
CUST0416,INV02801,2023-11-21 14:01:11.000,218.24,3,Credit Card
CUST0428,INV03205,2023-11-21 15:29:09.000,444.94,1,PayPal
CUST0274,INV00015,2023-11-21 17:08:30.000,371.96,1,PayPal
CUST0047,INV03288,2023-11-22 06:22:52.000,189.69,5,Gift Card
CUST0043,INV01648,2023-11-22 11:28:19.000,84.61,1,Bank Transfer
CUST0181,INV01972,2023-11-22 20:06:42.000,487.05,4,Bank Transfer
CUST0485,INV00763,2023-11-22 23:30:43.000,83.00,10,Credit Card
CUST0368,INV00012,2023-11-22 23:45:22.000,241.48,3,Credit Card
CUST0041,INV04777,2023-11-23 06:24:02.000,300.93,3,Bank Transfer
CUST0003,INV02033,2023-11-23 18:13:26.000,453.15,6,PayPal
CUST0354,INV03030,2023-11-23 19:10:05.000,491.41,3,PayPal
CUST0419,INV02998,2023-11-23 21:39:50.000,67.01,6,Bank Transfer
CUST0253,INV04763,2023-11-23 21:55:18.000,303.36,1,Gift Card
CUST0251,INV04170,2023-11-23 23:24:01.000,116.14,1,Bank Transfer
CUST0217,INV01239,2023-11-23 23:39:42.000,342.17,6,Gift Card
CUST0070,INV00387,2023-11-24 01:33:50.000,375.91,9,Bank Transfer
CUST0071,INV01903,2023-11-24 01:41:41.000,440.04,8,Credit Card
CUST0084,INV04065,2023-11-24 09:06:19.000,146.00,6,Gift Card
CUST0255,INV00735,2023-11-24 09:53:30.000,301.54,10,PayPal
CUST0359,INV04038,2023-11-24 22:21:49.000,468.64,6,Gift Card
CUST0245,INV01193,2023-11-24 23:39:22.000,26.91,6,Credit Card
CUST0172,INV03716,2023-11-25 02:23:50.000,273.19,9,Bank Transfer
CUST0052,INV03578,2023-11-25 10:23:11.000,260.68,8,Credit Card
CUST0310,INV04574,2023-11-25 10:31:18.000,392.57,6,PayPal
CUST0450,INV01100,2023-11-25 10:44:27.000,358.36,2,PayPal
CUST0112,INV04144,2023-11-25 10:57:22.000,243.88,8,Bank Transfer
CUST0191,INV00777,2023-11-25 11:11:12.000,179.16,8,Credit Card
CUST0406,INV02183,2023-11-25 12:08:44.000,123.45,1,Bank Transfer
CUST0017,INV01583,2023-11-25 14:32:02.000,175.64,5,PayPal
CUST0459,INV01505,2023-11-25 19:29:05.000,27.49,5,PayPal
CUST0304,INV04037,2023-11-25 22:43:44.000,74.31,1,Gift Card
CUST0133,INV04519,2023-11-26 05:11:05.000,110.08,2,Gift Card
CUST0098,INV00302,2023-11-26 14:23:25.000,18.78,1,PayPal
CUST0288,INV04135,2023-11-26 20:45:06.000,492.83,7,Bank Transfer
CUST0064,INV00934,2023-11-26 22:26:15.000,181.31,4,Bank Transfer
CUST0013,INV02025,2023-11-26 22:38:16.000,250.71,6,Gift Card
CUST0473,INV03028,2023-11-26 23:44:23.000,356.65,5,Bank Transfer
CUST0106,INV02266,2023-11-27 12:44:42.000,442.09,8,Gift Card
CUST0309,INV02017,2023-11-27 22:19:22.000,86.07,10,Bank Transfer
CUST0061,INV00127,2023-11-28 02:06:10.000,126.90,2,PayPal
CUST0135,INV03610,2023-11-28 03:10:33.000,327.48,9,Gift Card
CUST0414,INV00696,2023-11-28 10:17:18.000,95.95,4,Gift Card
CUST0059,INV04136,2023-11-28 14:21:59.000,434.87,3,Bank Transfer
CUST0468,INV04790,2023-11-28 16:18:49.000,467.30,1,Credit Card
CUST0223,INV03673,2023-11-28 20:18:24.000,325.77,7,Bank Transfer
CUST0077,INV03326,2023-11-28 21:53:26.000,277.62,8,PayPal
CUST0380,INV02218,2023-11-28 22:04:36.000,489.61,10,Credit Card
CUST0123,INV01510,2023-11-29 10:40:26.000,93.41,2,PayPal
CUST0496,INV01874,2023-11-29 11:54:54.000,210.31,3,Gift Card
CUST0202,INV03231,2023-11-29 12:25:29.000,72.59,3,Credit Card
CUST0084,INV03683,2023-11-29 13:49:45.000,165.81,2,PayPal
CUST0169,INV00065,2023-11-29 19:29:42.000,122.71,10,PayPal
CUST0028,INV00554,2023-11-30 03:27:11.000,159.34,1,Bank Transfer
CUST0324,INV03637,2023-11-30 10:20:03.000,145.05,2,Gift Card
CUST0244,INV00613,2023-11-30 11:24:50.000,232.33,8,Credit Card
CUST0165,INV00377,2023-11-30 19:29:27.000,261.81,2,PayPal
CUST0378,INV01069,2023-11-30 22:21:24.000,120.56,7,Credit Card
CUST0235,INV04411,2023-12-01 05:34:19.000,71.05,9,PayPal
CUST0487,INV03384,2023-12-01 07:42:44.000,465.97,6,Gift Card
CUST0068,INV03346,2023-12-01 14:10:46.000,61.83,10,Credit Card
CUST0152,INV03793,2023-12-01 16:45:43.000,116.07,3,PayPal
CUST0132,INV03337,2023-12-01 20:35:37.000,160.13,7,Credit Card
CUST0377,INV02109,2023-12-02 00:28:30.000,127.98,1,Bank Transfer
CUST0034,INV01995,2023-12-02 01:59:04.000,477.05,3,Credit Card
CUST0004,INV01298,2023-12-02 02:03:11.000,86.26,5,PayPal
CUST0353,INV04489,2023-12-02 03:10:52.000,308.05,6,Gift Card
CUST0360,INV01253,2023-12-02 07:40:01.000,222.49,10,PayPal
CUST0381,INV03398,2023-12-02 07:57:13.000,401.29,4,Bank Transfer
CUST0332,INV03339,2023-12-02 09:54:17.000,204.68,3,Bank Transfer
CUST0243,INV00796,2023-12-02 10:49:58.000,449.03,10,PayPal
CUST0143,INV04468,2023-12-02 11:31:14.000,420.71,4,Gift Card
CUST0374,INV02649,2023-12-02 15:28:14.000,60.10,1,PayPal
CUST0338,INV00860,2023-12-02 18:18:25.000,281.35,9,Gift Card
CUST0454,INV04498,2023-12-02 19:47:18.000,158.75,9,PayPal
CUST0268,INV01430,2023-12-02 21:07:43.000,487.29,6,Credit Card
CUST0223,INV00960,2023-12-02 22:37:36.000,271.84,1,Gift Card
CUST0255,INV04686,2023-12-03 02:56:06.000,239.53,3,Gift Card
CUST0165,INV03046,2023-12-04 06:02:41.000,230.92,8,Bank Transfer
CUST0312,INV01629,2023-12-04 18:19:52.000,113.63,6,Bank Transfer
CUST0213,INV02345,2023-12-05 00:43:48.000,55.68,6,PayPal
CUST0311,INV01814,2023-12-05 06:25:34.000,474.92,2,Credit Card
CUST0289,INV02177,2023-12-05 16:51:31.000,245.07,3,PayPal
CUST0421,INV01551,2023-12-05 17:40:46.000,310.25,8,Credit Card
CUST0479,INV00624,2023-12-05 20:40:06.000,396.21,5,Gift Card
CUST0124,INV00222,2023-12-06 00:19:52.000,140.60,1,PayPal
CUST0214,INV04500,2023-12-06 01:21:45.000,160.33,2,Credit Card
CUST0384,INV03726,2023-12-06 01:51:48.000,198.34,9,Bank Transfer
CUST0498,INV01845,2023-12-06 03:08:12.000,178.66,3,Bank Transfer
CUST0068,INV03053,2023-12-06 03:08:48.000,224.55,7,Credit Card
CUST0140,INV01732,2023-12-06 05:30:12.000,26.43,5,Gift Card
CUST0403,INV02284,2023-12-06 06:20:29.000,14.29,3,Bank Transfer
CUST0446,INV03252,2023-12-06 15:39:00.000,196.94,2,Gift Card
CUST0043,INV02330,2023-12-06 16:14:17.000,494.21,10,Credit Card
CUST0371,INV03261,2023-12-06 16:20:19.000,234.33,6,Gift Card
CUST0441,INV00967,2023-12-06 18:47:39.000,230.26,4,PayPal
CUST0240,INV04828,2023-12-07 03:25:30.000,231.29,2,PayPal
CUST0036,INV01497,2023-12-07 08:41:24.000,146.14,3,Bank Transfer
CUST0373,INV01238,2023-12-07 11:43:34.000,201.99,3,Credit Card
CUST0224,INV01770,2023-12-07 13:02:06.000,54.18,4,PayPal
CUST0285,INV04720,2023-12-07 15:54:40.000,115.92,9,Credit Card
CUST0048,INV04673,2023-12-07 23:08:20.000,495.51,7,Credit Card
CUST0037,INV04905,2023-12-08 03:50:31.000,388.33,9,PayPal
CUST0111,INV01999,2023-12-08 08:34:59.000,334.28,5,Bank Transfer
CUST0273,INV00538,2023-12-08 16:41:08.000,198.81,4,PayPal
CUST0007,INV04238,2023-12-08 23:27:29.000,393.40,8,PayPal
CUST0102,INV01742,2023-12-09 07:17:06.000,347.47,7,PayPal
